grade,subject_fa,grade_fa,file,size_bytes,source_url,maktab93_page
12,"تعلیمات اسلامی","صنف دوازدهم","Grade-12/G12-Dr-Islamic_Study_Hanafi.pdf",6470449,"https://drive.usercontent.google.com/download?id=1YlZENjyepB3eJK4yJ2wKSqHNpBpVZMyL&export=download","https://www.maktab93.com/download.php?id=203"
12,"جعفری","صنف دوازدهم","Grade-12/G12-Dr-Islamic_Study_Jafari.pdf",4972478,"https://drive.usercontent.google.com/download?id=1TS_3wSM3r9b4LGklqU_SwaPwduYNGXba&export=download","https://www.maktab93.com/download.php?id=204"
12,"ریاضی","صنف دوازدهم","Grade-12/G12-Dr-Math.pdf",22028542,"https://drive.usercontent.google.com/download?id=1978LL9ZuRpjAaoNdNfEGy3Y0aOLDP4eG&export=download","https://www.maktab93.com/download.php?id=205"
12,"كمپيوتر","صنف دوازدهم","Grade-12/G12-Dr-Computer.pdf",16872694,"https://drive.usercontent.google.com/download?id=1gYoo8wTXELpHTJcl17Ruoj7D5n8UHS9j&export=download","https://www.maktab93.com/download.php?id=206"
12,"بیالوژی","صنف دوازدهم","Grade-12/G12-Dr-Biology.pdf",17269415,"https://drive.usercontent.google.com/download?id=1uvumEf8lpKiKjLBIKLbUOfI6T6O0zzmi&export=download","https://www.maktab93.com/download.php?id=207"
12,"پشتو","صنف دوازدهم","Grade-12/G12-Dr-Pashto.pdf",16000672,"https://drive.usercontent.google.com/download?id=1N4QggVKiU4-wfn7ZJmwdDQNms0oHnXE9&export=download","https://www.maktab93.com/download.php?id=208"
12,"جغرافیه","صنف دوازدهم","Grade-12/G12-Dr-Geography.pdf",7917508,"https://drive.usercontent.google.com/download?id=10jGfgqbR3j5_D81jJU39K8K0nn_mPDW9&export=download","https://www.maktab93.com/download.php?id=209"
12,"تاریخ","صنف دوازدهم","Grade-12/G12-Dr-History.pdf",11432079,"https://drive.usercontent.google.com/download?id=1TRAZOS0ruKZBkEssPhaU0jcEWUpZUd-A&export=download","https://www.maktab93.com/download.php?id=210"
12,"فزیک","صنف دوازدهم","Grade-12/G12-Dr-Physic.pdf",21089794,"https://drive.usercontent.google.com/download?id=1QBH0Vn7BeOdySySxcclCj7PPWtJ_FTI_&export=download","https://www.maktab93.com/download.php?id=233"
12,"کیمیا","صنف دوازدهم","Grade-12/G12-Dr-Chemistry.pdf",23807590,"https://drive.usercontent.google.com/download?id=1oGKLqVS5FKaxos51ffnbvF7Z7a_PCBWT&export=download","https://www.maktab93.com/download.php?id=234"
12,"م.مدنی","صنف دوازدهم","Grade-12/G12-Dr-Civic.pdf",15297104,"https://drive.usercontent.google.com/download?id=1dSl6-wnakdE_aWhtgsqKcM8sh8tpLHUK&export=download","https://www.maktab93.com/download.php?id=235"
12,"انګلیسي","صنف دوازدهم","Grade-12/G12-Ps-English.pdf",24621355,"https://drive.usercontent.google.com/download?id=1PI1K9j4mvRcpjfBXqHfS10NLOSrjCyja&export=download","https://www.maktab93.com/download.php?id=236"
12,"دری","صنف دوازدهم","Grade-12/G12-Dr-Dari.pdf",17216070,"https://drive.usercontent.google.com/download?id=1deGYUPeV58mNv5lQTpe52kT4XXAZTTBe&export=download","https://www.maktab93.com/download.php?id=237"
12,"تفسیر شریف","صنف دوازدهم","Grade-12/G12-Dr-Tafseer.pdf",4165188,"https://drive.usercontent.google.com/download?id=17SMUS18ZoYkblzHPmcYddavWvIpshBT9&export=download","https://www.maktab93.com/download.php?id=238"
11,"تعلیمات اسلامی","صنف یازدهم","Grade-11/G11-Dr-Islamic_Study_Hanafi.pdf",8596354,"https://drive.usercontent.google.com/download?id=13eXNRw-tO_ERxeAIf8MH5WZWSEMqVatQ&export=download","https://www.maktab93.com/download.php?id=194"
11,"جعفری","صنف یازدهم","Grade-11/G11-Dr-Islamic_Study_Jafari.pdf",3196512,"https://drive.usercontent.google.com/download?id=1LwjSB2ct0Z38WDE4tQXIg0UKbOhGU1Gq&export=download","https://www.maktab93.com/download.php?id=195"
11,"ریاضی","صنف یازدهم","Grade-11/G11-Dr-Math.pdf",21186390,"https://drive.usercontent.google.com/download?id=1OV-BSedQuOcdgOgmix3cb4kiU6M_RSSV&export=download","https://www.maktab93.com/download.php?id=196"
11,"كمپيوتر","صنف یازدهم","Grade-11/G11-Dr-Computer.pdf",13035291,"https://drive.usercontent.google.com/download?id=1y6oI65ODFN8VRi4q0THT7Dwc2_u8Rj0U&export=download","https://www.maktab93.com/download.php?id=197"
